SampleNum,Measure,UCL,LCL
STRING,DOUBLE,DOUBLE,DOUBLE
1,-3.411247718,-0.986,-7.704
2,-3.015934981,-0.986,-7.704
3,-6.214608098,-0.986,-7.704
4,-6.214608098,-0.986,-7.704
5,-4.828313737,-0.986,-7.704
6,-6.214608098,-0.986,-7.704
7,-4.268697949,-0.986,-7.704
8,-4.135166557,-0.986,-7.704
9,-4.710530702,-0.986,-7.704
10,-4.710530702,-0.986,-7.704
11,-1.813391769,-0.986,-7.704
12,-2.764620553,-0.986,-7.704
13,-3.170085661,-0.986,-7.704
14,-3.816712826,-0.986,-7.704
15,-2.375155786,-0.986,-7.704
16,-3.816712826,-0.986,-7.704
17,-6.214608098,-0.986,-7.704
18,-6.214608098,-0.986,-7.704
19,-3.473768074,-0.986,-7.704
20,-5.521460918,-0.986,-7.704
21,-5.11599581,-0.986,-7.704
22,-3.575550769,-0.986,-7.704
23,-3.863232841,-0.986,-7.704
24,-3.912023005,-0.986,-7.704
25,-3.473768074,-0.986,-7.704
26,-6.214608098,-0.986,-7.704
27,-6.214608098,-0.986,-7.704
28,-3.649658741,-0.986,-7.704
29,-3.218875825,-0.986,-7.704
30,-0.320205264,-0.986,-7.704
31,-2.198225078,-0.986,-7.704
32,-2.513306124,-0.986,-7.704
33,-2.419118909,-0.986,-7.704
34,-2.055725015,-0.986,-7.704
35,-2.937463365,-0.986,-7.704
36,-1.660731207,-0.986,-7.704
37,-1.041287222,-0.986,-7.704
38,-0.944175935,-0.986,-7.704
39,-0.944175935,-0.986,-7.704
40,-2.718100537,-0.986,-7.704
41,-0.313341819,-0.986,-7.704
42,-1.262308381,-0.986,-7.704
43,-1.283737773,-0.986,-7.704
44,-1.546463113,-0.986,-7.704
45,-0.794073099,-0.986,-7.704
46,-1.244794799,-0.986,-7.704
47,0.511625304,-0.986,-7.704
48,-2.975929646,-0.986,-7.704
49,-2.882403588,-0.986,-7.704
50,-2.937463365,-0.986,-7.704
51,-2.918771232,-0.986,-7.704
52,-2.3330443,-0.986,-7.704
53,-0.397496938,-0.986,-7.704
54,-1.509592577,-0.986,-7.704
55,-1.57987911,-0.986,-7.704
56,-1.22758267,-0.986,-7.704
57,-2.055725015,-0.986,-7.704
58,-0.841647189,-0.986,-7.704
59,-1.714798428,-0.986,-7.704
60,-2.225624052,-0.986,-7.704
61,-2.95651156,-0.986,-7.704
62,1.277037375,-0.986,-7.704
63,-1.532476871,-0.986,-7.704
